时间,空气温度,空气湿度,光照,CO2,氨气
2023-8-13 6:09,26.2,81.3,4,564,7.68
2023-8-13 6:39,26.1,81.9,4,519,8.05
2023-8-13 7:09,25.8,82.3,4,502,7.8
2023-8-13 7:39,25.9,83,5,600,6.51
2023-8-13 8:09,26.5,82.4,5,663,6.3
2023-8-13 8:39,26.4,82.8,7,647,6.26
2023-8-13 9:09,26.5,82.7,5,664,5.88
2023-8-13 9:39,26.4,82.6,6,658,5.72
2023-8-13 10:09,26.6,83.2,7,667,5.38
2023-8-13 10:39,26.7,82.9,6,644,5.51
2023-8-13 11:09,26.5,83.5,11,599,5.3
2023-8-13 11:39,26.9,82.4,5,565,5.3
2023-8-13 12:09,26.5,82.8,7,612,4.88
2023-8-13 12:39,26.5,82.9,7,539,4.76
2023-8-13 13:09,26.5,83.5,6,547,4.68
2023-8-13 13:39,26.8,82.7,5,529,4.8
2023-8-13 14:09,26.9,82.2,5,601,4.63
2023-8-13 14:39,26.9,83,7,679,4.3
2023-8-13 15:09,27,82.6,7,687,4.13
2023-8-13 15:39,26.7,82.6,7,525,4.3
2023-8-13 16:09,26.7,83.6,4,589,3.97
2023-8-13 16:39,26.9,82.7,3,566,3.88
2023-8-13 17:09,27,82.3,3,569,3.93
2023-8-13 17:39,27,82,2,573,3.93
2023-8-13 18:09,26.9,82,2,536,3.8
2023-8-13 18:39,26.9,81.5,1,596,3.55
2023-8-13 19:09,26.5,82,0,573,3.51
2023-8-13 19:39,25.8,83,0,558,3.38
2023-8-13 20:09,25.4,83.6,0,507,3.68
2023-8-13 20:39,25.2,83.6,0,512,3.26
2023-8-13 21:09,25.6,82.3,0,590,3.43
2023-8-13 21:39,25.9,81.8,0,712,3.3
2023-8-13 22:09,25.9,81.7,0,654,3.15
2023-8-13 22:39,25.6,79.9,0,676,3.26
2023-8-13 23:09,25.5,80.3,0,737,3.09
2023-8-13 23:39,25.5,80.1,0,750,3.01
2023-8-14 0:39,25.5,79.1,0,691,3.05
2023-8-14 0:09,25.6,79.2,0,740,2.97
